IDREC,IDTR,TIME_TR
34712,5249,21.314662
34899,2493,21.315147
63861,6,21.315727
251,287,21.318372
88342,21,21.319104
6451,3402,21.319579
41403,2,21.320232
39165,298,21.322017
3800,2034,21.323045
82927,158,21.323516
1856,70378,21.324806
18293,45,21.324877
91281,13,21.324972
8575,954,21.325499
17637,135,21.325593
69200,887,21.326434
15549,469,21.326507
35307,56276,21.326566
27975,925,21.326822
79401,78,21.328243
49179,4,21.330062
59389,29,21.331757
73731,26,21.333791
78115,24110,21.333823
500,25,21.334618
7134,13,21.334878
8985,1,21.335497
61244,2,21.337528
20361,585,21.338437
56108,26,21.339547
5105,887,21.339835
21781,2,21.339847
17446,383,21.340225
38920,22262,21.340622
23567,6366,21.341472
45204,158,21.341544
40962,24000,21.342062
13747,60667,21.342102
24977,2,21.343900
41335,23,21.344396
86229,198,21.344558
4130,121,21.348402
78950,3075,21.348542
71400,1322,21.349587
35615,2,21.350045
82672,11173,21.352111
24223,2011,21.352688
62424,610,21.353213
44027,856,21.353643
17650,14990,21.354910
9283,2047,21.356151
66254,2011,21.358382
15068,18552,21.360689
20785,410,21.362558
14686,238,21.364607
62625,2084,21.365721
23245,158,21.366599
90737,43901,21.368853
1730,905,21.369857
89923,136,21.371079
6439,34164,21.371909
76701,17484,21.372361
22982,215,21.372401
43860,1622,21.374899
6172,16661,21.375271
56270,3,21.376552
685,26,21.377211
281,84,21.378331
83723,25,21.378441
40523,126,21.378466
72219,136,21.378829
653,264,21.379054
35779,4038,21.380712
8860,2,21.381355
96,19564,21.382096
52339,4,21.384076
4859,190,21.384165
6177,2860,21.384695
21576,2503,21.389121
17591,17611,21.389859
32948,8647,21.390789
15263,595,21.391211
19147,3,21.391315
53043,36283,21.392536
1554,19147,21.394673
79068,31,21.396591
51467,469,21.396837
32414,142,21.396984
12330,190,21.397182
99254,3,21.398822
97625,5417,21.399035
19708,23,21.399899
73270,190,21.401134
78867,143,21.402693
393,21,21.402730
